 Main Link,Include(Y/N),Name of the document,Country,Publisher,Link to main Document,Publication Date,Organization Type,Text Summary,Text-mining,Extracted text,paper index,Comments
https://assets.publishing.service.gov.uk/media/662fce1e9e82181baa98a988/MHRA_Impact-of-AI-on-the-regulation-of-medical-products.pdf,1,Impact of AI on the regulation of medical products Implementing the AI White Paper principles,England,Medicines and Healthcare products Regulatory Agency,https://assets.publishing.service.gov.uk/media/662fce1e9e82181baa98a988/MHRA_Impact-of-AI-on-the-regulation-of-medical-products.pdf,April 2024,Government,"The report outlines the MHRA's approach to regulating AI in medical products, emphasizing the application of the Pro-innovation AI White Paper's principles to ensure safety, transparency, and fairness while promoting responsible innovation in healthcare.","Transparency: 4
Justice and fairness: 8
Non-maleficence: 25
Responsibility: 7
Privacy: 0
Beneficence: 3
Freedom and autonomy: 0
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,39,
https://www.meti.go.jp/shingikai/mono_info_service/ai_shakai_jisso/pdf/20210709_8.pdf,1,AI Governance in Japan Ver. 1.1 REPORT FROM THE EXPERT GROUP ON HOW AI PRINCIPLES SHOULD BE IMPLEMENTED,Japan,Ministry of Economy Trade and Industry,https://www.meti.go.jp/shingikai/mono_info_service/ai_shakai_jisso/pdf/20210709_8.pdf,July 2021,Government,"The report discusses AI governance trends in Japan and globally, emphasizing a risk-based, multi-stakeholder approach, balancing innovation with regulation, and advocating for soft laws to guide AI principles implementation while promoting transparency, fairness, and international harmonization.","Transparency: 35
Justice and fairness: 24
Non-maleficence: 47
Responsibility: 23
Privacy: 15
Beneficence: 6
Freedom and autonomy: 5
Trust: 7
Sustainability: 2
Dignity: 0
Solidarity: 0",,40,
https://www.gsk.com/media/10977/gsk-position-on-responsible-ai.pdf,1,Our position on Responsible Artificial Intelligence (AI),England,Gsk,https://www.gsk.com/media/10977/gsk-position-on-responsible-ai.pdf,February 2024,Private,"GSK's Responsible AI policy outlines their commitment to developing and using AI responsibly in biopharma, emphasizing ethical innovation, data privacy, fairness, transparency, and sector-specific regulation, while advocating for global collaboration and regulatory frameworks that balance innovation with risk management.","Transparency: 1
Justice and fairness: 3
Non-maleficence: 6
Responsibility: 4
Privacy: 3
Beneficence: 0
Freedom and autonomy: 0
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,41,
https://www.manatt.com/insights/white-papers/2024/developing-effective-artificial-intelligence-gover,1,Developing Effective Artificial Intelligence Governance Models Key Insights for Health Systems,USA,UC Davis Health,https://www.manatt.com/Manatt/media/Documents/Articles/UCDH-AI-Governance_2024-05_d.pdf,May 2024,Non-profit,"This report outlines key insights and recommendations for developing effective AI governance models in health systems, emphasizing the need for multidisciplinary oversight, ethical frameworks, risk management, and strategic planning to responsibly implement AI technologies while addressing concerns like health equity, data privacy, and clinical accuracy.","Transparency: 6
Justice and fairness: 4
Non-maleficence: 25
Responsibility: 5
Privacy: 5
Beneficence: 2
Freedom and autonomy: 0
Trust: 7
Sustainability: 3
Dignity: 0
Solidarity: 0",,42,
https://www.ihi.org/resources/white-papers/framework-effective-board-governance-health-system-quality,1,Framework for Effective Board Governance of Health System Quality,USA,Institute for Healthcare Improvement,File must be downloaded,2018,Non-profit,"This white paper presents a framework for effective board governance of health system quality, emphasizing the need for boards to prioritize quality, use structured assessment tools, and foster a culture of inquiry and commitment to ensure high-quality, safe, and equitable care across all dimensions of healthcare.","Transparency: 6
Justice and fairness: 8
Non-maleficence: 91
Responsibility: 10
Privacy: 0
Beneficence: 2
Freedom and autonomy: 0
Trust: 2
Sustainability: 0
Dignity: 0
Solidarity: 0",,43,
https://www.astrazeneca.com/r-d/data-science-and-ai.html,1,"AstraZeneca Code of Ethics Values, Behaviours, and Policies","England, Sweden",Astra Zeneca,https://www.astrazeneca.com/content/dam/az/PDF/Sustainability/Code_of_Ethics_English.pdf,,,"AstraZeneca's Code of Ethics outlines the company's values, guiding principles, and global policies to ensure ethical, transparent, and responsible conduct in science, patient care, workplace behavior, and sustainability across all operations.","Transparency: 4
Justice and fairness: 4
Non-maleficence: 5
Responsibility: 1
Privacy: 1
Beneficence: 4
Freedom and autonomy: 1
Trust: 3
Sustainability: 3
Dignity: 1
Solidarity: 0",,44,
https://www.ihi.org/sites/default/files/2024-05/Artificial-Intelligence-in-Health-Care-Implications-for-Safety.pdf,1,Artificial Intelligence in Health Care Implications for Patient and Workforce Safety,USA,Institute for Healthcare Improvement,https://www.ihi.org/sites/default/files/2024-05/Artificial-Intelligence-in-Health-Care-Implications-for-Safety.pdf,2024,Non-profit,"The report examines the potential benefits and risks of generative AI applications, emphasizing the need for careful integration into clinical workflows to enhance patient and workforce safety while addressing challenges such as accuracy, bias, and the preservation of human oversight.","Transparency: 4
Justice and fairness: 14
Non-maleficence: 114
Responsibility: 10
Privacy: 18
Beneficence: 16
Freedom and autonomy: 5
Trust: 6
Sustainability: 0
Dignity: 0
Solidarity: 0",,45,
https://www.ihi.org/initiatives/ihi-lucian-leape-institute/patient-safety-ai,1,Patient Safety and Artificial Intelligence: Opportunities and Challenges for Care Delivery,USA,Institute for Healthcare Improvement,File must be downloaded,2024,Non-profit,"The report by the IHI Lucian Leape Institute discusses the opportunities and challenges posed by generative artificial intelligence (genAI) in healthcare, emphasizing its potential benefits for documentation, clinical decision support, and patient interaction, while also outlining the necessary governance, ethical considerations, and safety protocols required to ensure patient safety. ​​","Transparency: 16
Justice and fairness: 6
Non-maleficence: 245
Responsibility: 6
Privacy: 7
Beneficence: 23
Freedom and autonomy: 20
Trust: 11
Sustainability: 0
Dignity: 0
Solidarity: 0",,46,
https://humberandnorthyorkshire.icb.nhs.uk/wp-content/uploads/2023/11/Artificial-Intelligence-Governance-Policy-V1.0.docx,1,Artificial Intelligence (AI) Governance Policy,England,NHS Humber & North Yorkshire ICB,File must be downloaded,November 2023,Government,"The Artificial Intelligence Governance Policy for NHS Humber & North Yorkshire ICB establishes guidelines for the ethical, responsible, and compliant development, implementation, and monitoring of AI systems to enhance patient care while safeguarding personal data and ensuring accountability.","Transparency: 2
Justice and fairness: 6
Non-maleficence: 45
Responsibility: 3
Privacy: 5
Beneficence: 1
Freedom and autonomy: 1
Trust: 1
Sustainability: 3
Dignity: 0
Solidarity: 0",,47,Docx file
https://advance.uky.edu/sites/default/files/2024-03/uk-advance-clinical-care-guidelines.pdf,1,Guidelines and Recommendations for the Use of Generative AI in Clinical Care,England,UK Advance,https://advance.uky.edu/sites/default/files/2024-03/uk-advance-clinical-care-guidelines.pdf,March 2024,Non-profit,"The UK ADVANCE guidelines and recommendations emphasize the responsible and ethical use of generative AI in clinical care, addressing key concerns such as data privacy, human accountability, accuracy, and bias while advocating for compliance with existing healthcare policies and governance structures.","Transparency: 4
Justice and fairness: 4
Non-maleficence: 7
Responsibility: 6
Privacy: 8
Beneficence: 0
Freedom and autonomy: 1
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,48,OCR lib was used.
https://www.insideeulifesciences.com/2023/10/20/who-publishes-regulatory-considerations-on-ai-for-health/,1,Regulatory considerations on artificial intelligence for health,Global,World Health Organization ,https://iris.who.int/bitstream/handle/10665/373421/9789240078871-eng.pdf?sequence=1&isAllowed=y,2023,Intergovernmental,"This document provides an overview of regulatory considerations on AI for health that covers key general topic areas, namely: documentation and transparency, risk management and AI systems development lifecycle approach, intended use and analytical and clinical validation, AI related data quality, privacy and protection, and engagement and collaboration.","Transparency: 47
Justice and fairness: 14
Non-maleficence: 126
Responsibility: 11
Privacy: 79
Beneficence: 7
Freedom and autonomy: 5
Trust: 8
Sustainability: 1
Dignity: 1
Solidarity: 0",,49,OCR lib was used.
https://www.coalitionforhealthai.org/papers/blueprint-for-trustworthy-ai_V1.0.pdf,1,BLUEPRINT FOR TRUSTWORTHY AI IMPLEMENTATION GUIDANCE AND ASSURANCE FOR HEALTHCARE,USA,Coalition for Health AI,https://www.coalitionforhealthai.org/papers/blueprint-for-trustworthy-ai_V1.0.pdf,April 2024,Inter-organizational partnership,"The ""Blueprint for Trustworthy AI Implementation Guidance and Assurance for Healthcare"" outlines essential principles and standards for the safe, effective, and equitable integration of artificial intelligence in healthcare, emphasizing the need for transparency, accountability, and bias management to enhance patient outcomes and trust in AI technologies.","Transparency: 28
Justice and fairness: 42
Non-maleficence: 13
Responsibility: 8
Privacy: 2
Beneficence: 2
Freedom and autonomy: 2
Trust: 7
Sustainability: 1
Dignity: 1
Solidarity: 0",,50,
https://assets.publishing.service.gov.uk/media/6384bf98e90e0778a46ce99f/RHC_regulation_of_AI_as_a_Medical_Device_report.pdf,1,The Regulation of Artificial Intelligence as a Medical Device,England,Regulatory Horizons Council,https://assets.publishing.service.gov.uk/media/6384bf98e90e0778a46ce99f/RHC_regulation_of_AI_as_a_Medical_Device_report.pdf,November 2022,Independent governmental organization,"The report discusses the current regulatory landscape for AI in healthcare, identifies gaps in the existing regulatory framework, and provides recommendations to enhance patient safety and innovation through a comprehensive regulatory approach.","Transparency: 21
Justice and fairness: 28
Non-maleficence: 148
Responsibility: 7
Privacy: 6
Beneficence: 10
Freedom and autonomy: 0
Trust: 16
Sustainability: 0
Dignity: 0
Solidarity: 0",,51,
https://www.iqvia.com/solutions/innovative-models/artificial-intelligence-and-machine-learning,1,Pragmatic Application of Healthcare AI Governance,USA,IQVIA,https://www.iqvia.com/library/white-papers/pragmatic-application-of-healthcare-ai-governance,June 2023,Private,"This document explores regulatory frameworks and guidelines for Artificial Intelligence (AI), highlights common foundational principles of best practice, and provides tangible examples of data and analytics management approaches to meet some of these best practice guidelines.","Transparency: 37
Justice and fairness: 28
Non-maleficence: 56
Responsibility: 22
Privacy: 47
Beneficence: 1
Freedom and autonomy: 2
Trust: 4
Sustainability: 0
Dignity: 0
Solidarity: 0",,52,
https://www.safercare.vic.gov.au/sites/default/files/2023-07/Advisory%20-%20ChatGPT%20and%20Generative%20AI%20July%202023%20FINAL.pdf,1,Health service use of unregulated Artificial Intelligence (AI),Australia,Victoria State Government Department of Health,https://www.safercare.vic.gov.au/sites/default/files/2023-07/Advisory%20-%20ChatGPT%20and%20Generative%20AI%20July%202023%20FINAL.pdf,July 2023,Government,"The advisory outlines the interim guidelines for the safe use of unregulated generative AI in Victorian healthcare, emphasizing that such AI software should not be utilized for clinical purposes until it complies with national regulations and establishes local procedures for its use to ensure patient safety and regulatory obligations.","Transparency: 2
Justice and fairness: 0
Non-maleficence: 7
Responsibility: 0
Privacy: 3
Beneficence: 1
Freedom and autonomy: 1
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,53,File had to be downloaded.
https://www.abhi.org.uk/resource-hub/file/9348,1,The emergence of artificial intelligence and machine learning algorithms in healthcare: Recommendations to support governance and regulation,"England, USA",British Standards Institution& The Association for the Advancement of Medical Instrumentation,File must be downloaded,2019,Inter-organizational partnership,"The position paper outlines recommendations for the governance and regulation of artificial intelligence (AI) and machine learning algorithms in healthcare, emphasizing the need for standardization to ensure safety, transparency, and effective deployment of these technologies across healthcare systems.","Transparency: 5
Justice and fairness: 4
Non-maleficence: 18
Responsibility: 6
Privacy: 1
Beneficence: 6
Freedom and autonomy: 3
Trust: 2
Sustainability: 0
Dignity: 0
Solidarity: 0",,54,
https://www.feam.eu/wp-content/uploads/Sustainable-AI-to-Drive-Global-Health-white-paper-11-Sep.pdf,1,Sustainable AI to Drive Global Health,Global,Federation of European Academies of Medicine - Independent working group ,https://www.feam.eu/wp-content/uploads/Sustainable-AI-to-Drive-Global-Health-white-paper-11-Sep.pdf,September 2023,Non-profit,"The white paper outlines the potential of data and artificial intelligence (AI) in enhancing healthcare within the European Union and globally, emphasizing the importance of trust, regulatory frameworks, and collaboration to leverage AI for improved patient outcomes and sustainable health practices.","Transparency: 6
Justice and fairness: 9
Non-maleficence: 18
Responsibility: 14
Privacy: 11
Beneficence: 10
Freedom and autonomy: 12
Trust: 60
Sustainability: 5
Dignity: 0
Solidarity: 0",,55,
https://www.oecd.org/en/publications/2024/01/collective-action-for-responsible-ai-in-health_9a65136f.html,1,Collective action for responsible AI in health,Global,Organisation for Economic Co-operation and Development ,File must be downloaded,January 2024,Intergovernmental,"The document discusses the need for collective action to ensure responsible artificial intelligence (AI) practices in healthcare, highlighting various challenges and opportunities in deploying AI technologies, and emphasizing the importance of regulatory frameworks, ethical considerations, and stakeholder collaboration to enhance trust and effectiveness in AI applications within the health sector.","Transparency: 18
Justice and fairness: 15
Non-maleficence: 68
Responsibility: 23
Privacy: 26
Beneficence: 25
Freedom and autonomy: 6
Trust: 23
Sustainability: 3
Dignity: 4
Solidarity: 0",,56,
https://www.bsigroup.com/en-GB/capabilities/medical-devices/ai-in-medical-devices/,1,AI Machine Learning and Medical Devices Methods and guidance on addressing safety,England,British Standards Institution,https://www.bsigroup.com/siteassets/pdf/en/insights-and-media/insights/white-papers/ai-machine-learning-and-medical-devices-bsi.pdf,,Non-profit,"The document outlines the methods and guidance for ensuring the safety and compliance of machine learning-enabled medical devices (MLMD) within the evolving regulatory landscape, emphasizing the importance of risk management, bias mitigation, and adherence to medical device regulations and standards.","Transparency: 4
Justice and fairness: 2
Non-maleficence: 45
Responsibility: 3
Privacy: 2
Beneficence: 1
Freedom and autonomy: 2
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,57,
https://www.aomrc.org.uk/publication/artificial-intelligence-in-healthcare/,1,Artificial Intelligence in Healthcare,England,Academy of Medical Royal Colleges,https://www.aomrc.org.uk/publication/artificial-intelligence-in-healthcare/,January 2019,Non-profit,"The report from the Academy of Royal Medical Colleges discusses the current and potential future impact of Artificial Intelligence (AI) in healthcare, emphasizing the importance of patient safety, clinician involvement, ethical considerations, and the need for robust regulation as AI technologies are integrated into medical practice.","Transparency: 5
Justice and fairness: 2
Non-maleficence: 28
Responsibility: 15
Privacy: 5
Beneficence: 7
Freedom and autonomy: 16
Trust: 19
Sustainability: 0
Dignity: 0
Solidarity: 0",,58,
https://news.nnlm.gov/region_5/american-college-of-physicians-releases-recommendations-for-ai-tools-in-healthcare/,1,Artificial Intelligence in the Provision of Health Care: An American College of Physicians Policy Position Paper,USA,American College of Physicians,https://www.acpjournals.org/doi/10.7326/M24-0146,June 2024,Non-profit,"The American College of Physicians (ACP) position paper outlines the organization's foundational positions and recommendations on the use of artificial intelligence (AI) and machine learning (ML) technologies in healthcare, emphasizing the need for patient-centeredness, privacy, transparency, and further research into their clinical and ethical implications while addressing concerns about their impact on the patient-physician relationship and health disparities.",,,59,The website is protected against web-scraping
https://bipartisanpolicy.org/blog/first-into-the-breach-onc-final-rule-addressing-ai-transparency-in-health-care/,1,"Health Data, Technology, and Interoperability: Certification Program Updates, Algorithm Transparency, and Information Sharing",USA,Health and Human Services Department,https://www.federalregister.gov/documents/2024/01/09/2023-28857/health-data-technology-and-interoperability-certification-program-updates-algorithm-transparency-and,September 2024,Government,"The final rule implements the EHR Reporting Program of the 21st Century Cures Act by establishing new certification requirements for health IT developers, updating certification criteria and standards to enhance interoperability, algorithm transparency, and information sharing while reducing burdens and costs for developers and users.",,,60,The website is protected against web-scraping
https://www.advamed.org/member-center/resource-library/principles-for-artificial-intelligence-in-medical-technology/,1,Principles for Artificial Intelligence in Medical Technology,USA,Advanced Medical Technology Association,https://www.advamed.org/wp-content/uploads/2024/02/AI-Principles_1.pdf,,Non-profit,"The principles for artificial intelligence in medical technology emphasize promoting patient access, improving care in underserved communities, educating the public about AI's role, ensuring high-quality data to mitigate bias, providing appropriate incentives for adoption, ensuring clinician training, and protecting patient privacy and data security.","Transparency: 0
Justice and fairness: 0
Non-maleficence: 1
Responsibility: 1
Privacy: 4
Beneficence: 0
Freedom and autonomy: 0
Trust: 2
Sustainability: 0
Dignity: 0
Solidarity: 0",,61,
https://www.hsa.gov.sg/docs/default-source/hprg-mdb/guidance-documents-for-medical-devices/regulatory-guidelines-for-software-medical-devices---a-life-cycle-approach_r2-(2022-apr)-pub.pdf,1,Regulatory Guidelines for Software Medical Devices – A Life Cycle Approach,Singapore,Health Sciences Authority,https://www.hsa.gov.sg/docs/default-source/hprg-mdb/guidance-documents-for-medical-devices/regulatory-guidelines-for-software-medical-devices---a-life-cycle-approach_r2-(2022-apr)-pub.pdf,April 2022,Government,"The ""Regulatory Guidelines for Software Medical Devices"" outlines a comprehensive life cycle approach to ensure the safety, effectiveness, and compliance of software medical devices, including requirements for quality management systems, pre-market registration, post-market management, and specific considerations for artificial intelligence and cybersecurity.","Transparency: 2
Justice and fairness: 3
Non-maleficence: 76
Responsibility: 1
Privacy: 5
Beneficence: 0
Freedom and autonomy: 1
Trust: 0
Sustainability: 2
Dignity: 0
Solidarity: 0
",,62,
https://researchbriefings.files.parliament.uk/documents/POST-PN-0637/POST-PN-0637.pdf,1,AI and Healthcare,England,The Parliamentary Office of Science and Technology,https://researchbriefings.files.parliament.uk/documents/POST-PN-0637/POST-PN-0637.pdf,December 2020,Government,"The POSTnote on AI and Healthcare outlines the potential benefits and challenges of integrating artificial intelligence into the healthcare system, emphasizing issues related to safety, privacy, workforce adaptation, and health inequalities, while highlighting the need for regulatory frameworks to ensure effective and ethical implementation.","Transparency: 3
Justice and fairness: 4
Non-maleficence: 30
Responsibility: 14
Privacy: 9
Beneficence: 2
Freedom and autonomy: 3
Trust: 11
Sustainability: 3
Dignity: 0
Solidarity: 0",,63,
https://www3.weforum.org/docs/WEF_Patient_First_Health_with_Generative_AI_2024.pdf,1,Patient-First Health with Generative AI: Reshaping the Care Experience,Global,World Economic Forum,https://www3.weforum.org/docs/WEF_Patient_First_Health_with_Generative_AI_2024.pdf,January 2024,International non-governmental organization,"The white paper by the World Economic Forum and ZS discusses the transformative potential of generative AI in healthcare, highlighting its ability to enhance patient engagement, improve health outcomes, and address systemic challenges, while also identifying significant barriers to its adoption, such as mistrust, data limitations, and scalability issues.","Transparency: 3
Justice and fairness: 1
Non-maleficence: 6
Responsibility: 1
Privacy: 3
Beneficence: 0
Freedom and autonomy: 1
Trust: 10
Sustainability: 0
Dignity: 0
Solidarity: 0",,64,
https://iris.paho.org/bitstream/handle/10665.2/53732/PAHOEIHIS21011_eng.pdf?sequence=5&isAllowed=y,1,Artificial Intelligence in Public Health |DIGITAL TRANSFORMATION TOOLKIT,Global,Pan American Health Organization,https://iris.paho.org/bitstream/handle/10665.2/53732/PAHOEIHIS21011_eng.pdf?sequence=5&isAllowed=y,2021,Specialized agency,"The document outlines guiding principles and applications of Artificial Intelligence in public health (AI4PH), emphasizing the importance of ethical considerations, data protection, and various AI components such as machine learning and natural language processing to enhance public health interventions while ensuring individual rights and equity.","Transparency: 0
Justice and fairness: 8
Non-maleficence: 5
Responsibility: 0
Privacy: 3
Beneficence: 3
Freedom and autonomy: 3
Trust: 0
Sustainability: 0
Dignity: 2
Solidarity: 0
",,65,
https://digital-transformation.hee.nhs.uk/binaries/content/assets/digital-transformation/dart-ed/developingconfidenceinai-oct2022.pdf,1,Developing healthcare workers’ confidence in AI,England,National Health Service,https://digital-transformation.hee.nhs.uk/binaries/content/assets/digital-transformation/dart-ed/developingconfidenceinai-oct2022.pdf,October 2022,Government,"The report outlines the development of educational pathways to enhance healthcare workers' confidence in utilizing artificial intelligence (AI) in medical practice, emphasizing the need for tailored training based on identified workforce archetypes and roles to ensure safe, effective, and ethical AI adoption in healthcare settings .","Transparency: 17
Justice and fairness: 11
Non-maleficence: 53
Responsibility: 20
Privacy: 6
Beneficence: 14
Freedom and autonomy: 3
Trust: 23
Sustainability: 1
Dignity: 0
Solidarity: 0
",,66,
https://society.asco.org/sites/new-www.asco.org/files/ASCO-AI-Principles-2024.pdf,1,Principles for the Responsible Use of Artificial Intelligence in Oncology,USA,American Society of Clinical Oncology (ASCO),https://society.asco.org/sites/new-www.asco.org/files/ASCO-AI-Principles-2024.pdf,2024,Non-profit,"The American Society of Clinical Oncology (ASCO) outlines six principles for the responsible use of artificial intelligence (AI) in oncology, emphasizing transparency, informed stakeholder engagement, equity, accountability, oversight, and human-centered application to enhance patient care while addressing ethical, legal, and operational challenges.","Transparency: 11
Justice and fairness: 13
Non-maleficence: 9
Responsibility: 18
Privacy: 15
Beneficence: 5
Freedom and autonomy: 11
Trust: 6
Sustainability: 0
Dignity: 0
Solidarity: 0
",,67,
https://www.ifpma.org/publications/ifpma-artificial-intelligence-principles/,1,Artificial intelligence (“AI”) ethics principles,Switzerland,International Federation of Pharmaceutical Manufacturers & Associations,File must be downloaded,July 2022,Non-profit,"The IFPMA outlines ethical principles for the responsible development and use of artificial intelligence (AI) in healthcare, emphasizing human empowerment, accountability, human control, fairness, privacy, security, transparency, and continuous adaptation to mitigate risks and biases associated with AI systems.","Transparency: 3
Justice and fairness: 4
Non-maleficence: 7
Responsibility: 3
Privacy: 3
Beneficence: 1
Freedom and autonomy: 1
Trust: 1
Sustainability: 0
Dignity: 1
Solidarity: 0",,68,
https://www.americantelemed.org/wp-content/uploads/2023/10/ATA-AI-Principles-23-v2.pdf,1,The ATA’s Artificial Intelligence (AI) Principles,USA,American Telemedicine Association,https://www.americantelemed.org/wp-content/uploads/2023/10/ATA-AI-Principles-23-v2.pdf,October 2023,Non-profit,"The ATA's AI Principles emphasize the importance of trustworthy AI development in healthcare, advocating for accountability, transparency, bias mitigation, clear regulatory frameworks, economic workforce evolution, and privacy to enhance patient and provider trust and improve healthcare delivery, including in telehealth.","Transparency: 3
Justice and fairness: 0
Non-maleficence: 1
Responsibility: 2
Privacy: 4
Beneficence: 1
Freedom and autonomy: 0
Trust: 2
Sustainability: 0
Dignity: 0
Solidarity: 0",,69,
https://www.techerati.com/press-release/acro-releases-principles-for-responsible-ai-in-clinical-research/,1,ACRO's Principles for Responsible AI,Global,The Association of Clinical Research Organizations,https://www.acrohealth.org/wp-content/uploads/2023/12/ACRO-AI-Principles-Final.pdf,December 2023,Global trade association ,"ACRO's Principles for Responsible AI outline essential guidelines for the development and use of AI technologies in drug development, emphasizing compliance with regulations, ethical considerations, multidisciplinary oversight, quality management, transparency, and continuous monitoring to ensure safe and effective integration into healthcare.","Transparency: 6
Justice and fairness: 3
Non-maleficence: 9
Responsibility: 3
Privacy: 2
Beneficence: 0
Freedom and autonomy: 1
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0
",,70,
https://law.queensu.ca/sites/lawwww/files/files/Research/MachineMD/trustworthy-artificial-intelligence-in-health.pdf,1,TRUSTWORTHY AI IN HEALTH,Global,Organisation for Economic Co-operation and Development ,https://law.queensu.ca/sites/lawwww/files/files/Research/MachineMD/trustworthy-artificial-intelligence-in-health.pdf,2020,Intergovernmental,"The OECD's background paper for the G20 AI Dialogue highlights the profound potential of AI to transform healthcare through improved efficiency and outcomes while emphasizing the need for careful governance, transparency, and accountability to mitigate risks associated with its implementation.","Transparency: 14
Justice and fairness: 8
Non-maleficence: 18
Responsibility: 10
Privacy: 4
Beneficence: 14
Freedom and autonomy: 3
Trust: 5
Sustainability: 4
Dignity: 0
Solidarity: 0
",,71,
https://www.hhs.gov/sites/default/files/hhs-trustworthy-ai-playbook.pdf,1,Trustworthy AI (TAI) Playbook,USA,U.S. DEPARTMENT OF HEALTH & HUMAN SERVICES,https://www.hhs.gov/sites/default/files/hhs-trustworthy-ai-playbook.pdf,September 2021,Government,"The HHS Trustworthy AI Playbook outlines essential principles and practices for ensuring that artificial intelligence (AI) systems used within government are fair, transparent, responsible, safe, and robust, emphasizing the importance of trustworthy AI to enhance efficacy and accountability in public service. ​​","Transparency: 43
Justice and fairness: 50
Non-maleficence: 95
Responsibility: 10
Privacy: 85
Beneficence: 38
Freedom and autonomy: 3
Trust: 19
Sustainability: 0
Dignity: 0
Solidarity: 0
",,72,
https://www.healthit.gov/sites/default/files/2023-12/Health_Sector_AI_Commitments_FINAL_120923.pdf,1,HEALTH SECTOR AI COMMITMENTS,USA,Assistant Secretary for Technology Policy,https://www.healthit.gov/sites/default/files/2023-12/Health_Sector_AI_Commitments_FINAL_120923.pdf,September 2023,Government,"Health sector organizations commit to leveraging frontier AI models to enhance healthcare delivery while ensuring safety, security, and trust through principles of fairness, appropriateness, validity, effectiveness, and safety (FAVES), alongside transparent practices and a robust risk management framework.","Transparency: 4
Justice and fairness: 1
Non-maleficence: 4
Responsibility: 0
Privacy: 1
Beneficence: 2
Freedom and autonomy: 0
Trust: 3
Sustainability: 0
Dignity: 0
Solidarity: 0",,73,
https://www.pmcsa.ac.nz/our-principles-ai-in-healthcare/,1,Capturing the benefits of AI in healthcare for Aotearoa New Zealand,New Zealand,Prime Minister’s Chief Science Advisor,https://bpb-ap-se2.wpmucdn.com/blogs.auckland.ac.nz/dist/f/688/files/2023/12/PMCSA-AI-healthcare-LONG-REPORT-FINAL-pdf-version-v3.pdf,October 2023,Government,"The health sector commits to responsibly developing and deploying AI technologies to enhance healthcare delivery while ensuring patient safety, privacy, and adherence to principles of fairness, transparency, and accountability.","Transparency: 32
Justice and fairness: 83
Non-maleficence: 70
Responsibility: 20
Privacy: 55
Beneficence: 50
Freedom and autonomy: 49
Trust: 58
Sustainability: 5
Dignity: 0
Solidarity: 0
",,74,
https://cdn.pfizer.com/pfizercom/AI_Policy_Position_12112023.pdf,1,Policy Position on Artificial Intelligence,USA,Pfizer,https://cdn.pfizer.com/pfizercom/AI_Policy_Position_12112023.pdf,November 2023,Private,"Pfizer's policy position emphasizes the responsible and ethical use of artificial intelligence in healthcare, committing to principles of human empowerment, privacy, accountability, and transparency while advocating for supportive regulatory frameworks to foster innovation and mitigate risks.","Transparency: 6
Justice and fairness: 2
Non-maleficence: 3
Responsibility: 0
Privacy: 6
Beneficence: 1
Freedom and autonomy: 2
Trust: 4
Sustainability: 1
Dignity: 0
Solidarity: 0",,75,
https://www.bsr.org/reports/BSR-AI-Human-Rights-Healthcare.pdf,1,AI and Human Rights in Healthcare,Global,Business for Social Responsibility,https://www.bsr.org/reports/BSR-AI-Human-Rights-Healthcare.pdf,October 2023,Non-profit,"The report explores the impact of artificial intelligence (AI) on human rights within the healthcare sector, highlighting associated risks and opportunities, while providing recommendations for companies to address these human rights concerns effectively.","Transparency: 1
Justice and fairness: 1
Non-maleficence: 6
Responsibility: 1
Privacy: 11
Beneficence: 1
Freedom and autonomy: 9
Trust: 1
Sustainability: 3
Dignity: 1
Solidarity: 0",,76,
https://www.doh.gov.ae/-/media/E9C1470A575146B18015DEBE57E47F8D.ashx,1,Policy on Use of Artificial Intelligence (AI) in the Healthcare Sector of the Emirate of Abu Dhabi,United Arab Emirates,Abu Dhabi Department of Health,File must be downloaded,April 2018,Government,"The policy outlines the framework for integrating AI into healthcare, emphasizing principles of safety, transparency, and accountability while aiming to enhance healthcare quality and access while minimizing risks to patient safety.","Transparency: 3
Justice and fairness: 0
Non-maleficence: 15
Responsibility: 2
Privacy: 5
Beneficence: 3
Freedom and autonomy: 1
Trust: 0
Sustainability: 1
Dignity: 1
Solidarity: 0",,77,
https://www.takeda.com/4a53a8/siteassets/system/who-we-are/companyinformation/positions--guidelines/takeda_position_use-of-ai.pdf,1,Takeda’s Position on Use of Artificial Intelligence (AI),Japan,Takeda,https://www.takeda.com/4a53a8/siteassets/system/who-we-are/companyinformation/positions--guidelines/takeda_position_use-of-ai.pdf,September 2022,Private,"Takeda's position on Artificial Intelligence (AI) emphasizes the ethical and responsible use of AI systems to drive innovation in healthcare while prioritizing medical benefits, promoting transparency, ensuring data security, and maintaining human oversight to enhance patient outcomes and societal trust.","Transparency: 0
Justice and fairness: 0
Non-maleficence: 2
Responsibility: 3
Privacy: 1
Beneficence: 3
Freedom and autonomy: 6
Trust: 0
Sustainability: 2
Dignity: 0
Solidarity: 0",,78,
